xhs note: {'note_id': '62ced86500000000010244f4', 'type': 'video', 'title': '，和星星的孩子一起撸狗吧！', 'desc': '，和星星的孩子一起撸狗吧！', 'time': 1657722981000, 'last_update_time': 1657722981000, 'user_id': '5fb12fdd0000000001002657', 'nickname': '四川观察', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/6442313a6e9f220001c71d4c.jpg', 'liked_count': '307476', 'collected_count': '25047', 'comment_count': '4138', 'share_count': '2405', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/fc8b083e-9b56-775d-cc7f-9f5aa311de9b', 'last_modify_ts': 1692361320171}
xhs note: {'note_id': '61df9e280000000001026bdd', 'type': 'video', 'title': '每个自闭的孩子，都是折翼的天使', 'desc': '每个得了自闭症的孩子，都是折翼的天使，他们也拥有着世界上最勇敢的妈妈。  ', 'time': 1642044968000, 'last_update_time': 1642044969000, 'user_id': '565796cae00dd812f61b41a1', 'nickname': '高大福', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/610c04d9a3387f06b6984ace.jpg', 'liked_count': '19750', 'collected_count': '1075', 'comment_count': '1679', 'share_count': '1520', 'ip_location': '', 'image_list': 'https://sns-img-qc.xhscdn.com/655c7a37-8f41-3c24-9ed5-17550cbc95a5', 'last_modify_ts': 1692361320176}
xhs note: {'note_id': '62cfef3d000000001002a224', 'type': 'video', 'title': '连妈妈都不让抱的6岁自闭症男孩，只有狗狗是他唯一的玩伴 ', 'desc': '连妈妈都不让抱的6岁自闭症男孩，只有狗狗是他唯一的玩伴 ', 'time': 1657794365000, 'last_update_time': 1657794365000, 'user_id': '601e31a10000000001002615', 'nickname': '象芽塔儿童关爱中心', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/601e3230024ba20e7d15349d.jpg', 'liked_count': '16643', 'collected_count': '401', 'comment_count': '19', 'share_count': '2', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/67b07181-8404-7e14-cd90-6e7d8fdfc6ce', 'last_modify_ts': 1692361320176}
xhs note: {'note_id': '6324633e0000000008008d4a', 'type': 'video', 'title': '还记得童年被老师支配的恐惧吗', 'desc': '\xa0\xa0\xa0\xa0\xa0\xa0', 'time': 1663329086000, 'last_update_time': 1663329087000, 'user_id': '60712fd70000000001004e47', 'nickname': '博乐-乐爸', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/62e72227a31e6e6f8f2dc4b4.jpg', 'liked_count': '16135', 'collected_count': '756', 'comment_count': '240', 'share_count': '209', 'ip_location': '', 'image_list': 'https://sns-img-bd.xhscdn.com/ef0b933c-507e-f999-4eab-ff5a8210205e', 'last_modify_ts': 1692361320176}
xhs note: {'note_id': '626b5c190000000021036cae', 'type': 'video', 'title': '不想吃枇杷的轩轩被急哭了，用语音表达出不想做的事情后，一下子就开心了  ', 'desc': '不想吃枇杷的轩轩被急哭了，用语音表达出不想做的事情后，一下子就开心了  ', 'time': 1651203097000, 'last_update_time': 1651203098000, 'user_id': '5be48b6748ff960001162b14', 'nickname': '自闭症轩轩', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/5ff7fd4a1eb5173a48fc6af8.jpg', 'liked_count': '15710', 'collected_count': '645', 'comment_count': '543', 'share_count': '346', 'ip_location': '', 'image_list': 'https://sns-img-bd.xhscdn.com/6299d8b3-aef0-2d17-cd4e-4c3949768336', 'last_modify_ts': 1692361320176}
xhs note: {'note_id': '62f4ac6b0000000012003b7b', 'type': 'video', 'title': '“发指令”，切记这一点！', 'desc': '\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0', 'time': 1660307400000, 'last_update_time': 1660202092000, 'user_id': '6040a3d60000000001001792', 'nickname': 'MyStar ABA', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/62c639e56112f800010e462e.jpg', 'liked_count': '15405', 'collected_count': '12138', 'comment_count': '142', 'share_count': '2206', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/c8ad7634-773d-4883-35fe-f3144f573615', 'last_modify_ts': 1692361320177}
xhs note: {'note_id': '5f994548000000000100331a', 'type': 'video', 'title': '实验：自闭症儿童和普通孩子的不同', 'desc': '这个实验（针对4-5岁儿童）可以帮助大家很好地理解自闭症儿童与普通儿童在社交思维上的差异。*注意：这并不能测试“是否为自闭症”哦！', 'time': 1603880264000, 'last_update_time': 1604360084000, 'user_id': '5ce261560000000005018c21', 'nickname': '星儿守望者', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/5f39ef3800af580001904e80.jpg', 'liked_count': '13558', 'collected_count': '4662', 'comment_count': '604', 'share_count': '1194', 'ip_location': '', 'image_list': 'https://sns-img-bd.xhscdn.com/3627123b-a684-42b8-1bac-652453cfcabb', 'last_modify_ts': 1692361320177}
xhs note: {'note_id': '62c83417000000000f0004a0', 'type': 'video', 'title': '因为自闭症被欺负，幸好有闺蜜出手相救', 'desc': '     ', 'time': 1657287703000, 'last_update_time': 1657287704000, 'user_id': '60332883000000000100a979', 'nickname': '小完追剧', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/60332955dfcfafe2397b347a.jpg', 'liked_count': '12858', 'collected_count': '1734', 'comment_count': '183', 'share_count': '21', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/05d62373-8ad7-8870-6eee-8f58dadbcf67', 'last_modify_ts': 1692361320177}
xhs note: {'note_id': '6412c8570000000013004f64', 'type': 'video', 'title': '趁着中午，自闭症琦琦，自己洗澡了', 'desc': '感冒第5天了，今天最高28度，赶紧让琦琦洗了个澡。\n\t\n大家一直问琦琦用的沐浴露，今天视频里给大家分享了哟，洗完澡水润保湿，而且味道不错。\n\t\n      ', 'time': 1679040597000, 'last_update_time': 1678952536000, 'user_id': '5c72395400000000120393c3', 'nickname': '🌈琦琦宝贝', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30mv1cta34u005n3i75a4n4u33e3j4rg', 'liked_count': '11803', 'collected_count': '2444', 'comment_count': '566', 'share_count': '39', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/243d0deb-af60-cc4d-9c95-f4de77b27bdb', 'last_modify_ts': 1692361320177}
xhs note: {'note_id': '6360e97c00000000060288b4', 'type': 'video', 'title': '自闭症孩子最重要是自理技能学习！', 'desc': '他们学习生活自理技能通常很困难，比如折叠物品和搭配袜子！\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0', 'time': 1667304019000, 'last_update_time': 1667295612000, 'user_id': '5f50819100000000010063e1', 'nickname': '恩启', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/62c2bb3c732d149a6a1cac68.jpg', 'liked_count': '11592', 'collected_count': '902', 'comment_count': '134', 'share_count': '58', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/7e172204-d922-61d6-1875-34bb600287b2', 'last_modify_ts': 1692361320177}
xhs note: {'note_id': '603922820000000001024332', 'type': 'video', 'title': '他优秀到在发光', 'desc': '因为嘉祺特意去了解了自闭症孤独症患者！他们不是小傻子！他们都是来自星星的孩子[哭惹R]', 'time': 1614357122000, 'last_update_time': 1614357123000, 'user_id': '5eaaf492000000000100323f', 'nickname': '落日向童', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/628f88c80bcd4c659c950bd1.jpg', 'liked_count': '4236', 'collected_count': '772', 'comment_count': '43', 'share_count': '14', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/4b6821f0-fe1a-8af8-07e7-66b95cdd9007', 'last_modify_ts': 1692362905716}
xhs note: {'note_id': '64377c36000000001303d501', 'type': 'video', 'title': '自闭症少年也能勇敢的追梦', 'desc': '', 'time': 1681357878000, 'last_update_time': 1681357878000, 'user_id': '62319d930000000021026fe7', 'nickname': '路人甲电影', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/63d24d9132cdfdf0dd42e53e.jpg', 'liked_count': '4181', 'collected_count': '508', 'comment_count': '131', 'share_count': '36', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/e024eb15-9d7e-77dd-6933-51f3cbbd6fe8', 'last_modify_ts': 1692362905722}
xhs note: {'note_id': '63da3ab0000000001902031e', 'type': 'video', 'title': '自闭症琦琦，回来广州了，新的一年开始了', 'desc': '从江苏到河南外婆家，又到了广州。我们是没有家的两个人，暂时在广州好好生活吧。   ', 'time': 1675246256000, 'last_update_time': 1675246257000, 'user_id': '5c72395400000000120393c3', 'nickname': '🌈琦琦宝贝', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30mv1cta34u005n3i75a4n4u33e3j4rg', 'liked_count': '3819', 'collected_count': '930', 'comment_count': '639', 'share_count': '21', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/cd4e6b86-bc83-1f38-8f4c-6583b295c383', 'last_modify_ts': 1692362905723}
xhs note: {'note_id': '6315e7e200000000110118e0', 'type': 'video', 'title': '来自星星的孩子，在自己的世界独自闪耀着', 'desc': '你了解自闭症吗？他们被叫做来自星星的孩子，外人或许会误解和歧视，但他们会一直在自己的世界闪耀、发光\n  ', 'time': 1662380002000, 'last_update_time': 1662380003000, 'user_id': '5ed8553e00000000010004dd', 'nickname': '化妆小天才肖遥', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/5f0e558d96fab30001fde311.jpg', 'liked_count': '3752', 'collected_count': '385', 'comment_count': '68', 'share_count': '7', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/29538144-48ec-449e-6352-75376176e0ae', 'last_modify_ts': 1692362905723}
xhs note: {'note_id': '63e35d66000000001b005d6a', 'type': 'video', 'title': '13岁自闭症正在沉迷，突然袭击，看她反应如何', 'desc': '我在忙些工作，看到琦琦正在沉迷她的流沙瓶，我来个突然袭击，看她反应如何？\xa0\xa0\xa0\xa0\xa0\xa0\xa0', 'time': 1675930800000, 'last_update_time': 1675845077000, 'user_id': '5c72395400000000120393c3', 'nickname': '🌈琦琦宝贝', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30mv1cta34u005n3i75a4n4u33e3j4rg', 'liked_count': '3464', 'collected_count': '547', 'comment_count': '270', 'share_count': '11', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/4353b89f-fade-ac95-06b8-ac7229c33a5c', 'last_modify_ts': 1692362905723}
xhs note: {'note_id': '6247f69f000000002103437c', 'type': 'video', 'title': '他们是星星的孩子，也是父母的掌上明珠', 'desc': '今天是世界孤独症日，希望有更多的人能够关注到他们。\n用尊重，理解和关爱，让他们的夜空充满爱叭\n\xa0\xa0\xa0\xa0\xa0\xa0', 'time': 1648883359000, 'last_update_time': 1648883359000, 'user_id': '59c8b0a051783a01d6091ff5', 'nickname': '萌芽熊Doorobear', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/6327e772a778a60001cd825c.jpg', 'liked_count': '3343', 'collected_count': '1651', 'comment_count': '26', 'share_count': '137', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/8e1bc32a-273f-cdab-35ca-680b44f9ab81', 'last_modify_ts': 1692362905723}
xhs note: {'note_id': '5e095c71000000000100262d', 'type': 'video', 'title': '#感动！自闭症女孩回应服务犬拥抱#', 'desc': '近日，一段暖心的视频在网上流传，澳大利亚新南威尔士州一名18岁患有自闭症的女孩恐慌发作，她的服务犬一直陪伴左右，站起来抱抱她、安慰她。最终，女孩也回应了狗狗，和它抱在一起。', 'time': 1577671793000, 'last_update_time': 1578653528000, 'user_id': '5be4fe6297e5de00013c2485', 'nickname': '微光自闭症艺术康复中心', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/5ddf2d9326e266000108f70c.jpg', 'liked_count': '3287', 'collected_count': '182', 'comment_count': '24', 'share_count': '13', 'ip_location': '', 'image_list': 'https://sns-img-bd.xhscdn.com/67166b9e-4188-5d16-8dfa-88e2ad8ef712', 'last_modify_ts': 1692362905724}
xhs note: {'note_id': '6428e54e0000000013014ea0', 'type': 'video', 'title': '世界自闭症日，愿有爱不孤独，开心快乐每一天', 'desc': '   ', 'time': 1680401742000, 'last_update_time': 1680401742000, 'user_id': '5c72395400000000120393c3', 'nickname': '🌈琦琦宝贝', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30mv1cta34u005n3i75a4n4u33e3j4rg', 'liked_count': '3250', 'collected_count': '677', 'comment_count': '319', 'share_count': '13', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/40c8d207-e2e5-3088-5cfe-34f776ffe779', 'last_modify_ts': 1692362905724}
xhs note: {'note_id': '63861244000000001b0155f7', 'type': 'video', 'title': '100个家庭干预游戏5｜4个亲子感觉社交游戏‼️', 'desc': '在自闭症发育迟缓干预中，感觉社交游戏、身体触碰肢体游戏能够很好地增进亲子关系，增加眼神对视及其他教学互动机会。\n今天分享4个和蜗宝经常玩的他很喜欢的感觉社交游戏，前两个干预初期玩得非常多，后两个最近一阵子很喜欢。\n       ', 'time': 1669730884000, 'last_update_time': 1669730885000, 'user_id': '5acdea22e8ac2b344e28c32d', 'nickname': '蜗宝妈咪🐌', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/5fc50c142d84340001cb9ce3.jpg', 'liked_count': '3049', 'collected_count': '3683', 'comment_count': '86', 'share_count': '929', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/56f8d53b-9b2c-f5e7-b086-8dbcbdb47607', 'last_modify_ts': 1692362905724}
xhs note: {'note_id': '624581d000000000210378a8', 'type': 'video', 'title': '绝大多数人天生就有的这个功能，自闭症没有', 'desc': '💫\n4月2日是世界孤独症日，孤独症又称自闭症，尽管自闭症可能离绝大多数人的生活挺遥远的，但自闭症患者及其家庭是需要更多理解、关爱与支持的群体。自闭症的成因至今还在进一步被探索，在我们寻找到最终答案之前，人类也做了许多努力从不同角度思考如何帮助自闭症患者建立与外界的联系。今天就分享其中一派视角，关乎我们大多数人从出生就有的一种基本功能：自我调节Self Regulation。\n\t\n🐟\n课代表指路版：\n 1，什么是自我调节机制\n 2，自我调节机制与自闭症\n 3，自我封闭不等于自闭\n 4，每个人能为自闭症做的3件事\n\t\n🎏\n我是心理咨询师严艺家，2022世界孤独症关注日，我们和小红书一起，关注孤独症孩子和他们的家人，爱心传递，点亮希望。\n\t\n   \n@心情薯', 'time': 1648722384000, 'last_update_time': 1648724240000, 'user_id': '582c9b8582ec396a10c8668d', 'nickname': '严艺家', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/5f122c9325607f00014c6b99.jpg', 'liked_count': '2977', 'collected_count': '898', 'comment_count': '136', 'share_count': '196', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/a3c13aa4-475a-c78d-e9d3-8acc1d1af1eb', 'last_modify_ts': 1692362905725}
xhs note: {'note_id': '63ff1dc60000000013003d72', 'type': 'video', 'title': '四岁孩子患有自闭症', 'desc': ' [可怜R]总是沉浸在自己世界无法自拔，测的能力相当于一岁半的孩子，爸爸妈妈平时很忙，于是，奶奶承担起了带孩子的任务，为了能参加医院提供的感觉统合训练和语言课，奶奶和孩子住在一百多公里医院的附近，[皱眉R]在生活中，奶奶几乎承担了所有大大小小的任务，不仅要照顾孩子吃喝拉撒，还要利用机会教孩子学会说话，即便是训练，也是手把手带着孩子完成所有动作练习，[叹气R]奶奶认为只要孩子能够跟正常人一样投入自理生活能力就好了，然而，经过长达一年多的训练，孩子进步缓慢，就连上厕所都不知道怎样表达，[鄙视R]由于奶奶除了上课和训练几乎不让孩子做任何事情，然而，这也是孩子失去了学习能力的机会，医生迫于无奈🤷🏻\u200d♂️只好找到奶奶让她尝试放手，尽可能让孩子学会独立生活的能力。\n\t\n[鄙视R]对于自闭症儿童来说，[抓狂R]最佳的诊疗时间是一到两岁，随着年龄的增长后续的治疗会变得越来越困难，尽管奶奶十分心疼孩子，[哭惹R]但奶奶意识到了自己表达的方式出错❌为了让孩子学会独立生活，奶奶不再包揽生活大小琐事，开始尝试让孩子学会自己吃饭👍🏻平时半个小时就能吃完的饭，就算现在多花一个小时奶奶也没有任何怨言，[黄金薯R]在陪伴孩子进行锻炼时，奶奶在旁边不断鼓励她，让孩子学会尝试自己经历的一切，能够自我发挥，也让孩子不再沉睡在自己的世界里面[加油R]\n\t\n于是，孩子开始学会跟老师打招呼🙋🏻\u200d♀️走路也不会一直低头，也尝试在生活中叫爷爷👨🏻\u200d🦳奶奶🧓经过半年训练孩子在成长的过程中慢慢进步，孩子的性格也变得活泼可爱，尽管孩子还仍需要定期做训练，提高体能和沟通能力[害羞R]但，对于奶奶而言，只要孩子生活能够自理，这将是她最大的心愿[失望R][失望R]真的可怜天下父母心，愿所有人都能健康快乐🙂    ', 'time': 1677663686000, 'last_update_time': 1677663686000, 'user_id': '62c487c4000000001902a2cd', 'nickname': '老罗育儿感统公益分享', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/64bab5be550558410b5b6933.jpg', 'liked_count': '2894', 'collected_count': '603', 'comment_count': '341', 'share_count': '299', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/b522e371-2b89-1976-bfb0-be7fa722e66e', 'last_modify_ts': 1692362905725}
xhs note: {'note_id': '649a44690000000013017717', 'type': 'video', 'title': '乐乐要求换爸爸', 'desc': '看我怎么挽救这段“危险关系”\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0', 'time': 1687863632000, 'last_update_time': 1687831657000, 'user_id': '60712fd70000000001004e47', 'nickname': '博乐-乐爸', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/62e72227a31e6e6f8f2dc4b4.jpg', 'liked_count': '2806', 'collected_count': '189', 'comment_count': '114', 'share_count': '100', 'ip_location': '', 'image_list': 'https://sns-img-qc.xhscdn.com/227277b0-5582-97d8-7cf2-5abd11c94c39', 'last_modify_ts': 1692362905725}
xhs note: {'note_id': '646c8d930000000013032cf8', 'type': 'video', 'title': '被漏诊的ASD女孩|曾经怪举在这一刻得到解释', 'desc': '\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0', 'time': 1685007011000, 'last_update_time': 1684835731000, 'user_id': '635f86ca000000001901d7fc', 'nickname': '多动症自闭症小百科', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/6371ad53cefe39e290ce0154.jpg', 'liked_count': '2789', 'collected_count': '264', 'comment_count': '124', 'share_count': '98', 'ip_location': '', 'image_list': 'https://sns-img-qc.xhscdn.com/80631e6f-85fa-af74-a3a7-cec8572738e6', 'last_modify_ts': 1692362905726}
xhs note: {'note_id': '63c4fd33000000001f0028ba', 'type': 'video', 'title': '自闭症琦琦，兴趣爱好单一的表现', 'desc': '一个瓶子如果不制止，她能玩几个小时。     ', 'time': 1673854259000, 'last_update_time': 1673854260000, 'user_id': '5c72395400000000120393c3', 'nickname': '🌈琦琦宝贝', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30mv1cta34u005n3i75a4n4u33e3j4rg', 'liked_count': '2728', 'collected_count': '640', 'comment_count': '286', 'share_count': '3', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/70c02bb8-49b9-0d16-0c91-b36124d14dc7', 'last_modify_ts': 1692362905726}
